countrycode,country,year,democracy,polity,gdppc,enrl_gross,enrl_net,agri,slums,telephone,internet,tax,electricity,mobile,service,oil,natural,literacy,prim_compl,infant,hosp,tub,health_ex,ineq,unemploy,lifeexp,urban,un_continent_name,un_region_name,polity5,l.gdp,gdpgrowth
NGA,NIGERIA,2015,1,7,2549.723112,NA,NA,36.93999863,NA,0.103322092,24.5,NA,52.5,83.26830849,58.12222192,3.027133107,5.064158511,NA,NA,79.5,NA,219,3.58195019,NA,4.31,53.112,47.838,Africa,Western Africa,7,2550.469949,-0.7468369999996867
NIC,NICARAGUA,2015,1,9,1836.037362,NA,NA,30.97999954,NA,5.688628431,19.7042915,15.58958836,83.34231567,116.7261909,48.573943,0,1.826249403,82.61454773,NA,16.6,0.93,50,7.96303225,NA,4.7,73.649,57.895,Americas,Central America,9,1775.016295,61.02106700000013
NLD,NETHERLANDS,2015,1,10,51871.57652,102.6976013,96.42447,2.319999933,NA,41.03981114,91.72413793,21.16062422,100,122.8506375,70.0646949,0.026942886,0.432116071,NA,NA,3.4,3.49,5.8,10.32396889,3.5,6.87,81.5097561,90.173,Europe,Western Europe,10,51100.83983,770.7366900000052
NOR,NORWAY,2015,1,10,90029.35564,99.90493011,99.77225,2.00999999,NA,18.16422672,96.81032569,22.22355077,100,109.905197,56.44905707,3.151827948,5.333785795,NA,97.96967316,2.2,3.76,6.3,10.13146877,3.5,4.3,82.30487805,81.091,Europe,Northern Europe,10,89175.49955,853.8560900000011
NPL,NEPAL,2015,1,6,730.1153981,144.1776733,98.09886,66.93000031,NA,3.13506951,17.58161801,14.68630457,83.52746582,101.854612,50.53989699,0,1.063146872,NA,111.8308105,29.7,NA,268,6.21927214,NA,3.1,69.515,18.557,Asia,Southern Asia,6,705.0417489,25.073649199999977
NRU,NAURU,2015,1,NA,9628.445423,NA,NA,NA,NA,NA,NA,16.60407751,99,90.53260137,93.98533078,0,0,NA,NA,28.7,NA,111,15.1927681,NA,NA,NA,100,NA,NA,NA,9361.274545,267.170877999999
NZL,NEW ZEALAND,2015,1,10,36743.30305,97.94277954,97.66835,6.139999866,NA,40.09073943,88.22288882,27.41783504,100,121.3557518,65.97399546,0.201054015,1.290506303,NA,NA,4.5,2.72,7.3,9.31466961,NA,5.35,81.45682927,86.341,Oceania,Australia and New Zealand,10,36158.54384,584.7592100000038
OMN,OMAN,2015,0,-8,16658.12197,108.3045731,94.06176,4.570000172,NA,10.1920912,73.53,NA,100,155.7561043,50.20199643,21.40675298,23.97357637,93.03861237,99.82885742,9.6,1.56,8.8,4.3044014,NA,3.32,76.887,81.35,Asia,Western Asia,-8,16870.05416,-211.93218999999954
PAK,PAKISTAN,2015,1,7,1081.294426,85.08992004,60.95668,41.00999832,NA,1.773882493,11,NA,71.41212463,63.13069982,52.16051784,0.326277598,1.246643048,NA,NA,62.1,0.6,270,2.68711925,3.9,3.57,66.577,36.026,Asia,Southern Asia,7,1054.23776,27.05666599999995
PAN,PANAMA,2015,1,9,10765.93175,96.07713318,87.28892,14.67000008,NA,15.6340691,51.20542499,10.10160612,92.2937088,144.6881141,65.8277225,0,0.13497609,NA,NA,14.6,2.29,52,6.8090291,1.1,3,77.776,66.696,Americas,Central America,9,10357.5148,408.4169499999989
PER,PERU,2015,1,9,6114.226211,100.2368469,92.73258,28.26000023,NA,9.555053712,40.85260091,14.91965132,93.852179,112.3563679,54.04257994,0.243161955,3.86737756,94.16233826,100.4050598,12.2,1.55,122,5.03110838,1.6,2.92,75.792,77.357,Americas,South America,9,5996.494374,117.73183700000027
PHL,PHILIPPINES,2015,1,8,2735.185521,112.2509308,95.0759,29.19000053,NA,3.157071389,NA,13.01961059,89.08,115.3994392,58.52154986,0.068033651,0.769548074,98.18254852,NA,23.5,NA,550,4.32136869,2.3,3.07,70.644,46.284,Asia,South-Eastern Asia,8,2612.854832,122.3306889999999
PLW,PALAU,2015,1,NA,12608.8849,NA,NA,NA,NA,40.78120577,NA,20.16481488,99.40684509,134.4070195,78.13623944,NA,0,96.59374237,NA,17.9,NA,91,11.39383602,NA,NA,NA,78.159,Oceania,Micronesia,NA,11751.54373,857.3411699999997
PNG,PAPUA NEW GUINEA,2015,1,5,2336.806417,NA,NA,59.79999924,NA,1.850076007,7.9,15.22728706,44.36001587,43.90847057,43.28101086,2.287646977,11.66608378,NA,NA,39.9,NA,432,1.81881714,NA,2.56,63.466,13.012,Oceania,Melanesia,5,2237.003297,99.80311999999958
POL,POLAND,2015,1,10,14610.8752,NA,NA,11.52999973,NA,23.80404163,67.99698716,15.68686456,100,143.3904315,56.22304443,0.029105598,0.717581436,NA,100.0444031,4.2,6.63,19,6.39785814,2.8,7.5,77.45121951,60.278,Europe,Eastern Europe,10,14007.7285,603.1467000000011
PRK,"KOREA, NORTH",2015,0,-10,NA,NA,NA,45.27000046,NA,4.685545683,NA,NA,40.31616211,12.86539662,NA,NA,NA,NA,NA,16,NA,513,NA,NA,2.83,71.481,61.277,Asia,Eastern Asia,-10,NA,NA
PRT,PORTUGAL,2015,1,10,22018.00945,106.9626312,97.45382,7.53000021,NA,45.16626607,68.63286148,22.78871911,100,112.9851121,65.52902506,0,0.135141094,NA,NA,3,3.37,23,8.97663212,2.4,12.44,81.12439024,63.514,Europe,Southern Europe,10,21540.98796,477.0214900000028
PRY,PARAGUAY,2015,1,9,4950.617419,NA,NA,19.700000760000002,NA,5.155719772,49.71630466,9.7366986,99.331532,110.8127891,48.64230097,0,1.598966632,95.55484009,NA,18.9,0.78,40,6.74699259,1.6,4.56,73.662,60.75,Americas,South America,9,4873.432304,77.18511500000022
QAT,QATAR,2015,0,-10,67443.10324,102.5765228,91.73736,1.230000019,NA,17.92435622,92.88482645,NA,100,145.7868972,46.06824649,13.82261933,19.93349784,NA,92.64425659,6.7,1.2,24,3.17197657,NA,0.17,79.758,98.945,Asia,Western Asia,-10,67171.13201,271.97122999999556
ROM,ROMANIA,2015,1,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA
RUS,RUSSIA,2015,0,4,11355.2363,99.07290649,95.66588,6.7100000380000004,NA,24.52206368,70.09924123,10.64209481,95.5,156.7665611,56.14249097,5.934759459,10.04341165,NA,100.2978516,7,8.35,67,5.29560423,2.8,5.57,71.18341463,74.05,Europe,Eastern Europe,4,11608.75864,-253.52233999999953
RWA,RWANDA,2015,0,-3,764.2605563,139.6243591,NA,66.94999695,NA,0.14937896,18,13.30122949,22.8,77.04779924,49.74108968,0,5.753198872,NA,63.35086823,30.9,NA,61,6.86232901,NA,1.14,67.45,17.004,Africa,Eastern Africa,-3,720.1591998,44.10135649999995
SAU,SAUDI ARABIA,2015,0,-10,21399.10112,110.3930206,97.28258,6.099999905,NA,11.81330897,69.6162358,3.334403723,100,166.4563349,51.94826116,23.19450109,24.10706865,NA,108.4384613,7.2,2.2,12,5.99834013,NA,5.59,74.651,83.18,Asia,Western Asia,-10,21087.62424,311.47687999999835
SEN,SENEGAL,2015,1,7,1348.568632,84.93398285,73.84804,33.33000183,NA,2.059332883,21.7,15.77433605,60.5,102.6135684,51.43687343,0,3.491946114,NA,59.66014862,36.4,NA,123,4.38257313,NA,6.76,66.747,45.862,Africa,Western Africa,7,1303.953832,44.61480000000006
SGP,SINGAPORE,2015,0,-2,54009.73892,NA,NA,0.079999998,NA,36.05231045,79.012957,13.13977453,100,147.2259695,69.95053184,0,3.82738e-4,96.82549286,NA,2.2,2.4,45,4.18069839,NA,3.79,82.74390244,100,Asia,South-Eastern Asia,-2,53068.35522,941.3837000000058
SLB,SOLOMON ISLANDS,2015,1,NA,1656.00695,113.5938568,70.59233,40.09000015,NA,1.233257837,10.00046498,25.75581206,55.1,70.41938725,NA,0,16.67728424,NA,88.05918884,19,NA,86,5.19329929,NA,0.67,72.173,22.36,Oceania,Melanesia,NA,1677.542385,-21.535435000000007
SLE,SIERRA LEONE,2015,1,7,441.1379716,116.0991287,95.11907,58.06000137,NA,0.237035748,6.344421603,NA,19.52425957,78.87713099,33.87134028,0,10.57136024,NA,59.79026031,94.2,NA,307,20.41341209,NA,4.64,52.941,40.829,Africa,Western Africa,7,567.8335388,-126.69556720000003
SLV,EL SALVADOR,2015,1,10,3314.78103,102.6575699,85.79246,18.11000061,NA,14.92881404,26.80260496,16.75268491,95.4,147.5723164,60.01295319,0,0.850742983,87.96984863,96.26837921,13.2,1.02,48,7.63034058,2.4,4,72.412,69.7,Americas,Central America,10,3252.596561,62.18446900000026
SMR,SAN MARINO,2015,1,NA,48564.62804,NA,NA,NA,NA,49.7415244,NA,17.89022288,100,110.0745371,NA,NA,0,NA,NA,1.8,NA,0,7.27498674,NA,NA,NA,96.739,Europe,Southern Europe,NA,47950.87294,613.7551000000021
SOM,SOMALIA,2015,0,5,NA,NA,NA,81.01999664,NA,0.36964019,1.76,NA,29.17281151,42.2984343,NA,NA,NA,NA,NA,82.8,0.87,274,NA,NA,13.25,55.92,43.245,Africa,Eastern Africa,5,NA,NA
STP,SAO TOME & PRINCIPE,2015,1,NA,1232.130163,105.2665863,87.94813,21.23999977,NA,3.229672269,25.82,NA,67.26376343,92.7489069,70.42874767,0,3.412883358,NA,NA,26.8,NA,156,5.34009647,NA,13.46,69.377,70.174,Africa,Middle Africa,NA,1208.23942,23.89074299999993
SUR,SURINAME,2015,1,5,8464.759113,115.803627,87.98828,7.690000057,NA,16.43872855,42.76382778,NA,95.00204468,134.2157552,54.49614616,2.818498286,5.586345553,NA,89.56555176,18,3.05,32,6.21926689,NA,7.22,71.249,66.056,Americas,South America,5,8856.485551,-391.7264379999997
SVK,SLOVAKIA,2015,1,10,18898.17699,98.49299622,82.57315,3.180000067,NA,15.94356182,77.63468203,18.18927678,100,122.8114558,56.85922037,0.001723529,0.26276195,NA,95.96457672,5.1,5.75,6.5,6.79333973,3,11.48,76.56341463,53.889,Europe,Eastern Europe,10,18047.19105,850.9859399999987
SVN,SLOVENIA,2015,1,10,23826.1315,99.9498291,98.02977,7.079999924,NA,36.35971242,73.09865997,18.49388308,100,113.6504025,56.33595153,8.76e-5,0.263555917,NA,98.08544922,2,4.51,7.2,8.49823952,3.9,8.96,80.77560976,53.781,Europe,Southern Europe,10,23328.47494,497.65655999999944
SWD,SWEDEN,2015,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA
SWZ,SWAZILAND,2015,0,10,4640.947006,119.2153778,84.16842,13.55000019,NA,3.89477231,25.64304231,NA,64.1318512,85.23211031,50.05250271,0,3.282255677,NA,89.14315033,45.9,NA,648,7.03397036,NA,23.44,55.359,23.3,Africa,Southern Africa,10,4578.284376,62.66263000000072
SYC,SEYCHELLES,2015,0,NA,13187.61195,104.3731079,94.64716,NA,NA,22.46941397,54.25961786,29.5985834,100,156.0824612,70.55345013,0,0.102871431,NA,108.7547226,12.7,NA,9.7,4.58823824,NA,NA,74.29512195,55.4,Africa,Eastern Africa,NA,12850.4932,337.11874999999964
SYR,SYRIA,2015,0,-9,NA,NA,NA,12.27000046,NA,19.6676377,29.97979724,NA,89.82977295,79.52406813,NA,NA,NA,NA,NA,17.8,1.47,20,NA,NA,8.5,69.908,52.168,Asia,Western Asia,-9,NA,NA
TCD,CHAD,2015,0,-2,956.659963,91.58312988,79.09656,75.37999725,NA,0.120679117,3.5,NA,7.7,38.73436811,33.03970976,7.5189901,13.19320091,26.00299072,37.49597168,76.1,NA,144,4.52395248,NA,1.87,53.137,22.515,Africa,Middle Africa,-2,961.3776737,-4.717710699999998
TGO,TOGO,2015,0,-2,630.9369057,128.0440063,91.97388,38.68000031,NA,0.719498337,7.12,18.95427306,44.74192047,66.2993479,27.4163891,0,12.72800872,63.74562073,NA,50.8,NA,52,6.24938154,1.9,2.2,59.927,40.1,Africa,Western Africa,-2,612.1489724,18.787933299999963
THA,THAILAND,2015,0,-3,5741.364097,100.6508636,NA,32.27999878,NA,7.726170095,39.31612674,16.14039794,99.6,149.8111512,54.94809903,0.534472601,2.088415417,92.86830902,NA,9.3,NA,163,3.66789317,3.2,0.6,76.091,47.694,Asia,South-Eastern Asia,-3,5589.326543,152.03755399999955
TJK,TAJIKISTAN,2015,0,-3,935.9893753,97.60878754,96.75781,48.56000137,NA,5.405707197,18.98,NA,98,100.4136726,39.1778382,0.048069958,2.326215851,NA,101.0742493,32.9,NA,86,6.9073596,3,7.53,70.137,26.742,Asia,Central Asia,-3,904.5352213,31.454154000000017
TKM,TURKMENISTAN,2015,0,-8,6693.936813,NA,NA,24.52000046,NA,11.64360436,14.99677482,NA,100,140.909175,36.40013089,5.713040954,17.99602598,NA,NA,36.2,NA,49,6.29793644,NA,3.94,67.704,50.317,Asia,Central Asia,-8,6399.173496,294.7633169999999
TMP,EAST TIMOR,2015,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA
TON,TONGA,2015,0,NA,4058.839086,116.3389664,85.94145,22.73999977,NA,13.11755192,38.65127243,NA,100,72.92346772,53.38146478,0,0.042138997,NA,NA,14.5,NA,16,4.57615185,2.8,2.64,70.517,23.275,Oceania,Polynesia,NA,4002.174965,56.664120999999795
TTO,TRINIDAD & TOBAGO,2015,1,10,16783.93922,NA,NA,3.430000067,NA,19.76694631,69.19847061,26.57266348,100,154.9537045,57.37540756,2.078967774,6.463061285,NA,NA,17.6,3.01,16,6.03951168,NA,2.43,72.941,53.319,Americas,Caribbean,10,16635.60142,148.33780000000115
TUN,TUNISIA,2015,1,7,4304.552686,114.5549393,NA,14.75,NA,8.44048573,46.49999434,NA,99.9,130.5540392,58.73023951,1.2444613390000001,2.403928254,NA,103.311409,14.8,2.18,38,7.00741243,3.2,15.16,75.922,68.056,Africa,Northern Africa,7,4299.850741,4.701944999999796
TUR,TURKEY,2015,1,3,13924.13,103.027298,94.63188,20.40999985,NA,14.635354,53.74497914,18.18078068,100,93.77284502,53.47559786,0.042382248,0.214453625,95.60141754,92.23309326,11.1,2.68,18,4.11690378,2.1,10.24,76.532,73.611,Asia,Western Asia,3,13346.4774,577.6525999999994
TUV,TUVALU,2015,1,NA,3429.233533,99.79878998,81.28773,NA,NA,18.01964141,42.7,NA,98.9172821,59.46481665,NA,0,0,NA,91.70124054,22.9,NA,207,16.69959259,NA,NA,NA,59.73,NA,NA,NA,3178.045195,251.18833799999993
TWN,TAIWAN,2015,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA
TZA,TANZANIA,2015,0,3,871.9982814,84.67946625,NA,67.48000336,NA,0.277411996,10,10.49249549,26.34278107,77.04656442,40.43116643,0,5.336143654,77.88722992,NA,41,NA,306,3.64969921,NA,2.1,63.111,31.617,Africa,Eastern Africa,3,846.3742955,25.62398589999998
UGA,UGANDA,2015,0,-1,903.8474545,102.6483994,NA,72.26000214,NA,0.860188629,NA,10.84835253,18.5,52.89740582,42.84408807,0,10.84130909,NA,NA,39.2,NA,202,6.78750038,NA,1.86,61.373,22.06,Africa,Eastern Africa,-1,889.8566402,13.990814300000011
UKR,UKRAINE,2015,1,4,2828.885069,NA,NA,15.26000023,NA,21.31226599,48.88464368,20.45136542,100,142.0030379,51.16864399,0.298386147,2.689199011,NA,NA,8.1,NA,91,7.77607775,4.2,9.14,71.1895122,69.061,Europe,Eastern Europe,4,3123.900089,-295.0150200000003
URY,URUGUAY,2015,1,10,13938.77373,111.0404816,99.45328,8.819999695,NA,32.42755221,64.5707871,18.50947757,99.70948,151.390984,59.32547075,0,1.839183282,98.52387238,103.5109863,7.6,2.43,30,9.00821114,2.1,7.49,77.369,95.045,Americas,South America,10,13934.55568,4.218050000001313
USA,UNITED STATES OF AMERICA,2015,1,10,52236.11935,100.2999115,93.8973,1.440000057,NA,38.90820791,74.55420245,11.20913427,100,119.1439209,76.78152563,0.008323013,0.234698331,NA,NA,5.8,2.8,3.2,16.71075249,1.8,5.28,78.6902439,81.671,Americas,Northern America,10,51051.99814,1184.1212099999975
UZB,UZBEKISTAN,2015,0,-9,2138.566925,99.93193054,94.44588,27.57999992,NA,9.106535215,42.8,14.27812755,100,70.42874879,35.9242323,0.548555422,7.572963995,99.98383331,98.24262238,20.3,NA,79,4.9875989,NA,5.2,70.928,50.75,Asia,Central Asia,-9,2025.353896,113.213029
VCT,ST. VINCENT & GREN.,2015,1,NA,6581.607107,110.2202377,93.19511,11.07999992,NA,22.78099461,51.77,23.59407329,99.54006958,103.8690585,63.7312584,0,0.032552437,NA,99.39427185,15.2,4.33,7.4,4.08409452,NA,19.16,72.095,50.964,Americas,Caribbean,NA,6511.132571,70.47453599999972
VEN,VENEZUELA,2015,0,4,NA,100.9366684,90.69857,7.329999924,NA,25.86310826,NA,NA,100,96.71458807,NA,NA,NA,96.60521698,96.11708832,16.4,0.73,30,5.79743814,NA,7.44,72.584,88.154,Americas,South America,4,14026.36641,NA
VNM,VIETNAM,2015,0,-7,1667.171783,109.8869934,NA,44.02000046,NA,7.903731231,45,NA,99.80340576,129.8315152,39.73328958,1.491286496,4.206112896,NA,105.1644592,17.2,NA,199,5.65262079,NA,1.85,75.11,33.809,Asia,South-Eastern Asia,-7,1579.20193,87.96985300000006
VUT,VANUATU,2015,1,NA,2680.127867,109.2918701,79.84105,60.61999893,NA,1.769261978,22.35140458,16.90670876,52.2941246,64.47755689,NA,0,0.784549066,NA,NA,24,NA,63,4.15773726,NA,1.81,69.869,24.961,Oceania,Melanesia,NA,2743.465412,-63.337544999999864
WSM,SAMOA (WESTERN),2015,0,NA,3558.178395,106.3727875,95.93403,32.33000183,NA,5.918465426,25.40700977,NA,99.04818726,62.27850325,73.7757595,0,0.40255564,NA,110.3240204,14.5,NA,11,5.6747098,NA,8.66,72.73,18.914,Oceania,Polynesia,NA,3435.295255,122.88313999999991
YEM,YEMEN,2015,0,0,785.33766,NA,NA,29.46999931,NA,4.310633953,24.08540947,NA,67.39666748,56.69113113,23.36007926,1.673473654,2.105148678,NA,NA,43.4,0.71,48,4.88250208,NA,13.4,66.085,34.777,Asia,Western Asia,0,1119.147363,-333.809703
ZAF,SOUTH AFRICA,2015,1,9,7556.788306,105.5703888,84.35479,5.610000134,NA,7.458613417,51.91911572,27.3427766,85.3,158.8829468,61.38933856,0.005081135,2.738260301,94.36791992,90.11048889,28.5,NA,988,8.20090294,NA,25.15,62.649,64.828,Africa,Southern Africa,9,7582.948137,-26.15983099999994
ZAR,"CONGO, DEM. REP.",2015,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA
ZMB,ZAMBIA,2015,1,7,1641.012428,101.4604797,NA,52.27000046,NA,0.731547069,NA,14.39396393,31.1,72.78457238,56.22041422,0,11.16358183,NA,NA,46.7,NA,391,4.43510246,1,10.1,61.737,41.907,Africa,Eastern Africa,7,1644.102519,-3.0900910000000295
ZWE,ZIMBABWE,2015,0,4,1234.102191,NA,NA,67.05999756,NA,2.415569756,22.7428181,17.6733632,33.7,92.34710538,58.6510603,0,4.561980836,NA,NA,42.9,NA,242,7.45206642,NA,5.29,59.534,32.385,Africa,Eastern Africa,4,1232.862234,1.239957000000004
NA,KOSOVO,2015,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,SERBIA,2015,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,MONTENEGRO,2015,1,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA
NA,"SUDAN, NORTH",2015,0,-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4,NA,NA
NA,"SUDAN, SOUTH",2015,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
